shmmitzrach,english_name,food_energy,rephrased_english,rephrased_hebrew
"תמ""ל, סימילאק טופ 2/טופ 3, מוכן","Infant formula, SIMILAC TOP 2/3, liquid",74,"Food item: Infant formula, SIMILAC TOP 2/3, liquid","מזון: תמ""ל, סימילאק טופ 2/טופ 3, מוכן"
"תמ""ל, סימילאק NEOSURE, מוכן","Infant formula, NEOSURE, liquid, Similac",74,"Food item: Infant formula, NEOSURE, liquid, Similac","מזון: תמ""ל, סימילאק NEOSURE, מוכן"
"תמ""י,NUTREN JUNIOR, תחליף נוזלי לארוחה, מגאפארם","Medical formula, NUTREN JUNIOR, liquid meal substitute, Megapharm",100,"Food item: Medical formula, NUTREN JUNIOR, liquid meal substitute, Megapharm","מזון: תמ""י,NUTREN JUNIOR, תחליף נוזלי לארוחה, מגאפארם"
"תמ""י, NUTREN JUNIOR WITH FIBER, נוזלי, מגאפרם","Medical formula, NUTREN JUNIOR WITH FIBER, liquid, Megapharm",100,"Food item: Medical formula, NUTREN JUNIOR WITH FIBER, liquid, Megapharm","מזון: תמ""י, NUTREN JUNIOR WITH FIBER, נוזלי, מגאפרם"
"תמ""י,PEPTAMEN JUNIOR, תחליף נוזלי לארוחה, מגאפארם","Medical formula, PEPTAMEN JUNIOR , liquid meal substitute, Megapharm",100,"Food item: Medical formula, PEPTAMEN JUNIOR , liquid meal substitute, Megapharm","מזון: תמ""י,PEPTAMEN JUNIOR, תחליף נוזלי לארוחה, מגאפארם"
"תמ""י, PEPTAMEN, תחליף נוזלי לארוחה, וניל, מגאפארם","Medical formula, PEPTAMEN, liquid meal substitute, vanilla, Megapharm",100,"Food item: Medical formula, PEPTAMEN, liquid meal substitute, vanilla, Megapharm","מזון: תמ""י, PEPTAMEN, תחליף נוזלי לארוחה, וניל, מגאפארם"
"חלב מיובש, מלא, אבקה","Milk, dry, whole, not reconstituted",496,"Food item: Milk, dry, whole, not reconstituted","מזון: חלב מיובש, מלא, אבקה"
"שוקו, אבקה יבשה עם סוכר וחלב מיובש","Cocoa (or chocolate) with dry milk and sugar, dry mix ",398,"Food item: Cocoa (or chocolate) with dry milk and sugar, dry mix","מזון: שוקו, אבקה יבשה עם סוכר וחלב מיובש"
"שוקו, אבקה ממותקת להכנת משקה שוקולית, עלית","Cocoa drink mix, powder, sweetened, Elite",400,"Food item: Cocoa drink mix, powder, sweetened, Elite","מזון: שוקו, אבקה ממותקת להכנת משקה שוקולית, עלית"
"קקאו, אבקה עם ממתיק דל קלוריות וחלב כחוש מיובש","Cocoa with nonfat milk and low calorie sweetener, powder",377,"Food item: Cocoa with nonfat milk and low calorie sweetener, powder","מזון: קקאו, אבקה עם ממתיק דל קלוריות וחלב כחוש מיובש"
שוקו ממכונה,"Cocoa drink, from dispensing machine",32,"Food item: Cocoa drink, from dispensing machine",מזון: שוקו ממכונה
"קקאו, אבקה, ללא חלב מיובש","Cocoa, powder ",228,"Food item: Cocoa, powder","מזון: קקאו, אבקה, ללא חלב מיובש"
"שוקו, אבקה עם סוכר להכנת משקה בטעם קקאו","Cocoa (or chocolate) flavored beverage  with sugar, powder",402,"Food item: Cocoa (or chocolate) flavored beverage  with sugar, powder","מזון: שוקו, אבקה עם סוכר להכנת משקה בטעם קקאו"
"שוקו, אבקה עם ממתיק ללא קלוריות, בטעם קקאו או שוקו","Cocoa (or chocolate) flavored beverage with low calorie sweetener, powder",377,"Food item: Cocoa (or chocolate) flavored beverage with low calorie sweetener, powder","מזון: שוקו, אבקה עם ממתיק ללא קלוריות, בטעם קקאו או שוקו"
"קקאו, אבקה לא ממותקת, 10% שומן, סגנון אירופאי","Cocoa, powder, 10% fat, not sweetened",410,"Food item: Cocoa, powder, 10% fat, not sweetened","מזון: קקאו, אבקה לא ממותקת, 10% שומן, סגנון אירופאי"
"תוסף חלבון, אבקה, כולל MERITENE","Protein supplement, powder, milk-based, not reconstituted, including MERITENE",355,"Food item: Protein supplement, powder, milk-based, not reconstituted, including MERITENE","מזון: תוסף חלבון, אבקה, כולל MERITENE"
"תוסף לארוחה, EASY SHAKE, אבקה, איזיליין","Meal supplement, EASYSHAKE, powder, Easyline",509,"Food item: Meal supplement, EASYSHAKE, powder, Easyline","מזון: תוסף לארוחה, EASY SHAKE, אבקה, איזיליין"
"תמ""י,תחליף לארוחה, EASYMEAL-K2, נוזלי, איזיליין","Medical food, EASYMEAL-k 2, liquid, Easyline",200,"Food item: Medical food, EASYMEAL-k 2, liquid, Easyline","מזון: תמ""י,תחליף לארוחה, EASYMEAL-K2, נוזלי, איזיליין"
"תוסף לארוחה, EASY THICKENER, נוזלי, איזיליין","Meal supplement, EASYTHICKENER, liquid, Easyline",320,"Food item: Meal supplement, EASYTHICKENER, liquid, Easyline","מזון: תוסף לארוחה, EASY THICKENER, נוזלי, איזיליין"
"תוסף חלבון, EASY WHEY, אבקה, איזיליין ","Protein supplement, EASYWHEY, powder, Easyline",393,"Food item: Protein supplement, EASYWHEY, powder, Easyline","מזון: תוסף חלבון, EASY WHEY, אבקה, איזיליין"
"תוסף לארוחה, עתיר קלוריות, אבקה, EASY CALORIE, איזיליין","Meal supplement, EASYCALORIE, powder, high energy, Easyline",380,"Food item: Meal supplement, EASYCALORIE, powder, high energy, Easyline","מזון: תוסף לארוחה, עתיר קלוריות, אבקה, EASY CALORIE, איזיליין"
"שמנת לבישול 15% שומן, תנובה","Cream, 15% fat, for cooking, Tnuva",161,"Food item: Cream, 15% fat, for cooking, Tnuva","מזון: שמנת לבישול 15% שומן, תנובה"
"שמנת מתוקה 38% שומן, לקצפת, כולל עמידה,תנובה, יטבתה, טרה","Cream, 38% fat, for whipping, including UHT, Tnuva/Yotvata/Tara",360,"Food item: Cream, 38% fat, for whipping, including UHT, Tnuva/Yotvata/Tara","מזון: שמנת מתוקה 38% שומן, לקצפת, כולל עמידה,תנובה, יטבתה, טרה"
"קצפת 38%  שומן, ממותקת, מוכנה","Cream, whipped, 38% fat, sweetened",366,"Food item: Cream, whipped, 38% fat, sweetened","מזון: קצפת 38%  שומן, ממותקת, מוכנה"
"שמנת מתוקה 32% שומן, לקצפת, השף הלבן,תנובה","Cream, 32% fat, for whipping, ChefHalavan/Tnuva",324,"Food item: Cream, 32% fat, for whipping, ChefHalavan/Tnuva","מזון: שמנת מתוקה 32% שומן, לקצפת, השף הלבן,תנובה"
"תחליף שמנת קל 3.5%  שומן, נוזלי, לקפה, כולל ריצ'","Cream substitute, light, 3.5% fat, liquid",71,"Food item: Cream substitute, light, 3.5% fat, liquid","מזון: תחליף שמנת קל 3.5%  שומן, נוזלי, לקפה, כולל ריצ'"
"קצפת צמחית 25%  שומן, ריצ'","Cream substitute, non-dairy, 25% fat, for whipping, Rich's",301,"Food item: Cream substitute, non-dairy, 25% fat, for whipping, Rich's","מזון: קצפת צמחית 25%  שומן, ריצ'"
"מלבין קפה באבקה, ללא חלב, כולל CREMORA.COFFEEMATE","Cream substitute, powdered",545,"Food item: Cream substitute, powdered","מזון: מלבין קפה באבקה, ללא חלב, כולל CREMORA.COFFEEMATE"
"מלבין קפה, חלבית, עלית","Coffee whitener, dairy, Elite",543,"Food item: Coffee whitener, dairy, Elite","מזון: מלבין קפה, חלבית, עלית"
"קצפת צמחית 20%  שומן, השף הלבן","Cream substitute, 22% fat, non-dairy, ChefHalavan",268,"Food item: Cream substitute, 22% fat, non-dairy, ChefHalavan","מזון: קצפת צמחית 20%  שומן, השף הלבן"
"שמנת חמוצה 9% שומן, תנובה","Cream, 9% fat, Tnuva",113,"Food item: Cream, 9% fat, Tnuva","מזון: שמנת חמוצה 9% שומן, תנובה"
"שמנת חמוצה 15% שומן, טרה, תנובה","Cream, sour, 15% fat, Tnuva",159,"Food item: Cream, sour, 15% fat, Tnuva","מזון: שמנת חמוצה 15% שומן, טרה, תנובה"
"שמנת חמוצה 27%  שומן, שמנת של פעם, תנובה","Cream, sour, 27% fat, Tnuva",268,"Food item: Cream, sour, 27% fat, Tnuva","מזון: שמנת חמוצה 27%  שומן, שמנת של פעם, תנובה"
"גלידה עשירה ,ברי נייס/צרי גרסיה, וניל, בן & ג'ריס","Ice cream, rich, berry nice/cherry garcia/vanilla, Ben and Jerry's",202,"Food item: Ice cream, rich, berry nice/cherry garcia/vanilla, Ben and Jerry's","מזון: גלידה עשירה ,ברי נייס/צרי גרסיה, וניל, בן & ג'ריס"
"גלידת ריבת חלב/שוקולד/שוקולד בראוניס/קפה, בן & ג'ריס  ","Ice cream, dulce de leche/chocolate/brownies/coffee, Ben and Jerry's",258,"Food item: Ice cream, dulce de leche/chocolate/brownies/coffee, Ben and Jerry's","מזון: גלידת ריבת חלב/שוקולד/שוקולד בראוניס/קפה, בן & ג'ריס"
גלידת שמנת ביתית,"Ice cream, homemade",355,"Food item: Ice cream, homemade",מזון: גלידת שמנת ביתית
"גלידה בשומן צמחי, וניל עם תוספות, נסטלה/שטראוס/פלדמן","Ice cream, vegetable fat, vanilla with additions, Nestle/Strauss/Feldman",209,"Food item: Ice cream, vegetable fat, vanilla with additions, Nestle/Strauss/Feldman","מזון: גלידה בשומן צמחי, וניל עם תוספות, נסטלה/שטראוס/פלדמן"
"גלידה עשירה, כל הטעמים מלבד שוקולד, כולל בן & ג'ריס","Ice cream, rich, flavors other than chocolate, including Ben and Jerry's",249,"Food item: Ice cream, rich, flavors other than chocolate, including Ben and Jerry's","מזון: גלידה עשירה, כל הטעמים מלבד שוקולד, כולל בן & ג'ריס"
"גלידת שמנת כל הטעמים מלבד שוקולד, שטראוס, נסטלה JOYA","Ice cream, flavors other than chocolate, Joya, Nestle/Strauss",213,"Food item: Ice cream, flavors other than chocolate, Joya, Nestle/Strauss","מזון: גלידת שמנת כל הטעמים מלבד שוקולד, שטראוס, נסטלה JOYA"
"גלידה עשירה, בטעם שוקולד, כולל בן & ג'ריס ,האגן דאז","Ice cream, rich, chocolate",255,"Food item: Ice cream, rich, chocolate","מזון: גלידה עשירה, בטעם שוקולד, כולל בן & ג'ריס ,האגן דאז"
"גלידה בשומן צמחי, וניל שוקו קראנץ', נסטלה","Ice cream, chocolate with chocolate flakes, Nestle",243,"Food item: Ice cream, chocolate with chocolate flakes, Nestle","מזון: גלידה בשומן צמחי, וניל שוקו קראנץ', נסטלה"
"גלידה בשומן צמחי, וניל, נסטלה/שטראוס/פלדמן","Ice cream, vegetable fat, vanilla, Nestle/Strauss/Feldman",197,"Food item: Ice cream, vegetable fat, vanilla, Nestle/Strauss/Feldman","מזון: גלידה בשומן צמחי, וניל, נסטלה/שטראוס/פלדמן"
"גלידה בשומן צמחי, עוגה, שוקולד וניל, פנטסיה, שטראוס","Ice cream, vegetable fat, cake, chocolate, Fantasia, Strauss",254,"Food item: Ice cream, vegetable fat, cake, chocolate, Fantasia, Strauss","מזון: גלידה בשומן צמחי, עוגה, שוקולד וניל, פנטסיה, שטראוס"
"גלידת שמנת בטעם שוקולד שטראוס CARTE D'OR, נסטלה JOYA","Ice cream, chocolate, Carte D'Or, Strauss/Joya Nestle",205,"Food item: Ice cream, chocolate, Carte D'Or, Strauss/Joya Nestle","מזון: גלידת שמנת בטעם שוקולד שטראוס CARTE D'OR, נסטלה JOYA"
"גלידה, חטיף בשומן צמחי וניל, בציפוי שוקולד, גלידונית, שטראוס","Ice cream bites, with vegetable fat, chocolate coated, Strauss",345,"Food item: Ice cream bites, with vegetable fat, chocolate coated, Strauss","מזון: גלידה, חטיף בשומן צמחי וניל, בציפוי שוקולד, גלידונית, שטראוס"
"גלידה, שלגון, מיני וניל עם עוגיות, לייט, שטראוס","Popsicle, yogurt, mini vanilla with cookies, energy-reduced, Strauss",109,"Food item: Popsicle, yogurt, mini vanilla with cookies, energy-reduced, Strauss","מזון: גלידה, שלגון, מיני וניל עם עוגיות, לייט, שטראוס"
"שלגון יוגורט עם שרבט, שייק פרי יוגורט, טעמים שונים, פלדמן","Popsicle, yogurt with sherbet,fruit yoghurt shake, flavored, Strauss",114,"Food item: Popsicle, yogurt with sherbet,fruit yoghurt shake, flavored, Strauss","מזון: שלגון יוגורט עם שרבט, שייק פרי יוגורט, טעמים שונים, פלדמן"
"גלידה בשומן צמחי פרווה, שוקו טעמים שונים, שטראוס","Ice cream, non-dairy, Strauss",208,"Food item: Ice cream, non-dairy, Strauss","מזון: גלידה בשומן צמחי פרווה, שוקו טעמים שונים, שטראוס"
"שלגון שמנת שוקולד בציפוי שוקולד, מגנום/ג'ויה, שטראוס,נסטלה","Popsicle/ice cream, with chocolate coating, Magnum/Joya, Strauss/Nestle",349,"Food item: Popsicle/ice cream, with chocolate coating, Magnum/Joya, Strauss/Nestle","מזון: שלגון שמנת שוקולד בציפוי שוקולד, מגנום/ג'ויה, שטראוס,נסטלה"
"גלידה, חטיף קפוא, שוקולד/קוקוס/וניל, בציפוי שוקולד, פלדמן","Popsicle/ice cream, not chocolate, with chocolate coating, single serve, Feldman",327,"Food item: Popsicle/ice cream, not chocolate, with chocolate coating, single serve, Feldman","מזון: גלידה, חטיף קפוא, שוקולד/קוקוס/וניל, בציפוי שוקולד, פלדמן"
"שלגון שוקו עם ליבת שוקולד, ציפוי שוקולד, שוקובו, שטראוס","Popsicle/ice cream, chocolate cream with white chocolate core, single serve, Strauss",362,"Food item: Popsicle/ice cream, chocolate cream with white chocolate core, single serve, Strauss","מזון: שלגון שוקו עם ליבת שוקולד, ציפוי שוקולד, שוקובו, שטראוס"
"שלגון בטעם וניל בציפוי המכיל שוקולד, שומן צמחי,רולר, נסטלה","Popsicle/ice cream, vegetable fat, vanilla, coating containing chocolate, Roller/Nestle",330,"Food item: Popsicle/ice cream, vegetable fat, vanilla, coating containing chocolate, Roller/Nestle","מזון: שלגון בטעם וניל בציפוי המכיל שוקולד, שומן צמחי,רולר, נסטלה"
"גלידה אישית, טילון מגנום שמנת, טעמים שונים, שטראוס","Popsicle/ice cream, flavored, coated with chocolate, Strauss",418,"Food item: Popsicle/ice cream, flavored, coated with chocolate, Strauss","מזון: גלידה אישית, טילון מגנום שמנת, טעמים שונים, שטראוס"
"שלגון שוקו/בננה בציפוי שוקולד, בשומן צמחי, נסטלה,פלדמן","Popsicle/icecream, vegetable fat, chocolate-banana, chocolate coated, Nestle/Feldman",256,"Food item: Popsicle/icecream, vegetable fat, chocolate-banana, chocolate coated, Nestle/Feldman","מזון: שלגון שוקו/בננה בציפוי שוקולד, בשומן צמחי, נסטלה,פלדמן"
"שלגון שמנת וניל בציפוי שוקולד לבן, מגנום/ג'ויה, שטראוס,נסטלה","Popsicle/Ice cream, coated with white chocolate, Strauss",338,"Food item: Popsicle/Ice cream, coated with white chocolate, Strauss","מזון: שלגון שמנת וניל בציפוי שוקולד לבן, מגנום/ג'ויה, שטראוס,נסטלה"
"שלגון שמנת וניל בציפוי שוקולד, מגנום/ג'ויה, שטראוס, נסטלה","Popsicle/ice cream, vanilla cream, chocolate coating, Magnum/Joya, Strauss/Nestle",343,"Food item: Popsicle/ice cream, vanilla cream, chocolate coating, Magnum/Joya, Strauss/Nestle","מזון: שלגון שמנת וניל בציפוי שוקולד, מגנום/ג'ויה, שטראוס, נסטלה"
"שלגון, וניל בציפוי פסיפלורה, מופחת קלוריות, גלידל, פלדמן","Popsicle/ice cream, passionfruit coating, energy-reduced, Feldman",46,"Food item: Popsicle/ice cream, passionfruit coating, energy-reduced, Feldman","מזון: שלגון, וניל בציפוי פסיפלורה, מופחת קלוריות, גלידל, פלדמן"
